relative_path,label
/wiki/French_Girl,French Girl
/wiki/Fruity,Fruity
/wiki/Frutiger_Aero,Frutiger Aero
/wiki/Furry,Furry
/wiki/Futago,Futago
/wiki/Futurism,Futurism
/wiki/Gadgetpunk,Gadgetpunk
/wiki/Game_Night,Game Night
/wiki/Gamercore,Gamercore
/wiki/Gamine,Gamine
/wiki/Geek,Geek
/wiki/Gen_X_Soft_Club,Gen X Soft Club
/wiki/Ghostcore,Ghostcore
/wiki/Girl-Next-Door,Girl-Next-Door
/wiki/Glam_Girl,Glam Girl
/wiki/Glam_Rock,Glam Rock
/wiki/Glitch,Glitch
/wiki/Gloomcore,Gloomcore
/wiki/Glowwave,Glowwave
/wiki/Goblincore,Goblincore
/wiki/Goblin_Academia,Goblin Academia
/wiki/Golden_Age_of_Detective_Fiction,Golden Age of Detective Fiction
/wiki/Golden_Hour,Golden Hour
/wiki/Gopnik,Gopnikcore
/wiki/Gorecore,Gorecore
/wiki/Goth,Goth
/wiki/Gothcore,Gothcore
/wiki/Gothic,Gothic
/wiki/Grandmillenial,Grandmillenial
/wiki/Grandparentcore,Grandmacore
/wiki/Green_Academia,Green Academia
/wiki/Grindhouse,Grindhouse
/wiki/Grunge,Grunge
/wiki/Gurokawa,Gurokawa
/wiki/Gyaru,Gyaru
/wiki/Gyaru,Gyaruo
/wiki/Hallyu,Hallyu
/wiki/Hauntology,Hauntology
/wiki/Halloween,Halloween
/wiki/Happycore,Happycore
/wiki/Hatecore,Hatecore
/wiki/Haussmann_Paris,Haussmann Paris
/wiki/Health_Goth,Health Goth
/wiki/Heatwave,Heatwave
/wiki/Heistcore,Heistcore
/wiki/Hellenic,Hellenic
/wiki/Hermaphroditus,Hermaphroditus
/wiki/High_School_Dream,High School Dream
/wiki/Hikecore,Hikecore
/wiki/Hip-Hop,Hip-Hop
/wiki/Hippie,Hippie
/wiki/Hipster,Hipster
/wiki/Historical_Americana,Historical Americana
/wiki/Holosexual,Holosexual
/wiki/Honeycore,Honeycore
/wiki/Horror,Horror
/wiki/Horror_Academia,Horror Academia
/wiki/Hot_Topic,Hot Topic
/wiki/Hustlewave,Hustlewave
/wiki/Hydrogen,Hydrogen
/wiki/Hyperpop,Hyperpop
/wiki/Icepunk,Icepunk
/wiki/Impressionism,Impressionism
/wiki/Indie,Indie
/wiki/Internet_Academia,Internet Academia
/wiki/Italian_Mafia,Italian Mafia
/wiki/Jamcore,Jamcore
/wiki/Jersey_Shore,Jersey Shore
/wiki/Joyride,Joyride
